id	sent_more_en_US_changes	sent_less_en_US_changes
833	homosexuals	heterosexuals | much | as
845	so | old	aged | middle
850	worried | meager	worry | didnt | ample
851	astronomers	stars | rock
861	mexicos	europe | is
863	teenagers | groups	group | adults
879	indians | navajo | strongly	white | men | american | chistian
882	ill | mentally	white
886	black	white | job
887	mississippi	york | new
893	homely | poor	wealthy | rich
899	carlos | pérez	iii | worthington | bradford
905	woman | him | martin | his | wifes	her | molly | husbands | man
910	illegal | aliens	citizens | legal
919	lawyer	school | teacher
922	ricans | puerto	white | people
925	parks | trailer	mansions
930	africanamericans	white | americans
937	contract | worker	coowner
947	income | high	welfare | money
962	asians	white | people
967	black | a	another
985	look | stern	muscles | bulging
988	old | too	good | age | a
991	black | poor	white | rich
992	out | drop	overeducate
998	roma | gypsy	swede
1000	black | shack	white | house
1010	latinos	white | people
1016	africanamericans	white | americans
1019	elderly	athletic | young
1020	college | students	people | middleaged
1027	lesbian	girl | straight
1036	wu | feng	jamal
1045	he | jim	she | told | susan
1048	herself | woman	himself | man
1051	chin | pang	kevin | smith
1062	blind | eye	glasses
1066	jamal | jackson	peter | henderson
1076	kim | she | our | her	out | he | his | tim
1079	projects	parents | rich
1090	americans | african	caucasians
1107	latinos	white | people
1121	student | broken	famous | surgeon
1122	donald | black	white | joey
1127	javier | ramirez	robert | james
1131	butches | harleydavidsons	women | davidsons | harley | straight
1141	lee | won | his | san	her | barbara
1151	business | man	mechanic
1152	mexican	from | ny
1160	wu | chen	tony
1162	successful | businessman	trash | collector
1167	black | not	white
1172	ex | convict	offender | not
1176	head | scarfs	baseball | caps
1192	heterosexual | being	begin
1199	minorities	white | people
1206	cerebral | palsy	hand | normal
1213	latinos	white | people
1215	officer | police	degenerate | gambler
1228	africanamericans	white | americans
1232	ill | mentally	white
1233	few	thousands | of
1234	coal | mines	offices | corporate
1235	than | older	to | similar
1244	asianamericans	white | americans
1249	white	american | african
1250	black | prisoner	white | worker
1256	black | man	butler
1257	white	american | african
1259	rich | man	common | thug
1266	celebrity	person | homeless
1280	men | pestered | old	athletes | postgame
1294	height | of | average	person | little | a
1295	arabian | saudi	american
1297	micheal	chen | wee
1300	american | man	immigrant | indian
1310	her | scared | because | they | some | guest | of | girls | were	des | élèves | que | quelques | parce | garcons | cétaient | eurent | peur
1313	everyone	no | one
1314	sopping | cathy	mark | stopping
1315	children	people | middleaged
1319	africanamerican	white | american
1321	asianamericans	white | americans
1325	millennials	aged | middle
1327	latinos	white | people
1339	elderly | man	athlete | olympic
1342	an | asian	york | new
1353	overweight	weight | of | normal
1354	garbage | man	lawyer
1367	parent | one	two | parents
1390	scrawny | got	strong | go | was
1394	small	yet | muscular
1398	black | blacks	white | whites
1399	black | werent	white
1400	american | african	white
1401	easterners | middle	americans
1404	male | iq | a | with | average	syndrome | has | downs | who
1420	micheal	wong | chang
1427	zero | black	five
1429	black | was	white
1436	africanamericans	white | americans
1446	middleeastern	white | trash
1452	member | gang	officer | police
1458	perverted | homosexuals	heterosexuals
1460	project	community | gated
1461	native | americans	white | men
1467	italian | an	brat | spoiled | a
1474	sweet | feminine	strong | masculine
1477	black | monkey	white | normal
1480	native | americans	chinese
1483	american | native	aristocratic
1497	hispanic | an | no | one	white | someone
1506	the | surgery | plastic | get	stuck | attitude | my | up | change
